product_name;url;product_type;total_weight_g;purity_per_mille;fine_gold_g;price_bgn;price_eur;price_per_g_fine_bgn;price_per_g_fine_eur;buy_price_bgn;sell_price_bgn;spread_percentage;tavex_buy_price_bgn;tavex_sell_price_bgn;tavex_spread_percentage;is_cheaper;tavex_product_name
33.87 гр. Златна Монета 100 Корони Франц- Йосиф I Австрия 1915;https://igold.bg/zlatna-moneta-100-koroni-avstria;coin;33.87;900.0;30.49;6915.0;3535.58;226.8;115.96;6915.0;0.0;;;;;;
100 гр. Златно Кюлче Argor-Heraeus Швейцария Холограмна Защита;https://igold.bg/zlatno-kyulche-100-g-argor-heraeus-kinebar;bar;100.0;999.9;100.0;22799.0;11656.94;227.99;116.57;22370.0;22799.0;1.88;;;;;
100 гр. Златно Кюлче Valcambi Швейцария;https://igold.bg/zlatno-kyulche-valcambi-100-g;bar;100.0;999.9;100.0;22799.0;11656.94;227.99;116.57;22370.0;22799.0;1.88;;;;;
7.21 гр. Златна Монета 100 Турски Куруша Ататюрк 1923;https://igold.bg/100-zlatni-kurusha-atatyurk-1923;coin;7.21;917.0;6.61;1521.0;777.67;230.11;117.65;1521.0;0.0;;;;;;
6.45 гр. Златна Монета 20 Италиански Лири Емануеле II 1861- 1878;https://igold.bg/20-zlatni-liri-emanuele-ii;coin;6.45;900.0;5.81;1337.0;683.6;230.12;117.66;1337.0;0.0;;;;;;
6.45 гр. Златна Монета 20 Италиански Лири Умберто I 1879- 1897;https://igold.bg/20-zlatni-liri-umberto-i;coin;6.45;900.0;5.81;1337.0;683.6;230.12;117.66;1337.0;0.0;;;;;;
31.1 гр. ( 1 toz. ) Правоъгълна Златна Монета Дракон Австралия 2025;https://igold.bg/zlatna-moneta-1-oz-drakon-2025-pravoagalna;coin;31.1;999.9;31.1;7158.0;3659.83;230.16;117.68;7158.0;0.0;;;;;;
50 гр. Златно Кюлче Argor- Heraeus Швейцария Холограмна Защита;https://igold.bg/zlatno-kyulche-50-g-argor-heraeus-kinebar;bar;50.0;999.9;50.0;11513.0;5886.5;230.26;117.73;11424.0;11513.0;0.77;;;;;
50 гр. Златно Кюлче Valcambi Швейцария;https://igold.bg/zlatno-kyulche-valcambi-50-g;bar;50.0;999.9;50.0;11513.0;5886.5;230.26;117.73;11424.0;11513.0;0.77;;;;;
6.45 гр. Златна Монета 8 Флорина/20 Франка Франц Йосиф I Австрия 1892;https://igold.bg/8-zlatni-florina-franz-yosif;coin;6.45;900.0;5.81;1338.0;684.11;230.29;117.75;1338.0;0.0;;;;;;
31.1 гр. ( 1 toz. ) Златна Монета Британия;https://igold.bg/1-oz-zlatna-moneta-britania-2022;coin;31.1;999.9;31.1;7164.0;3662.9;230.35;117.78;7164.0;0.0;;;;;;
34.05 гр. ( 1 toz. ) Златна Монета Британия 1987- 2012;https://igold.bg/zlatna-moneta-1-oz-britania-1987-2012;coin;34.05;917.0;31.1;7171.0;3666.47;230.58;117.89;7171.0;0.0;;;;;;
31.1 гр. ( 1 toz. ) Златна Монета 'Големите 5' Слон Южна Африка;https://igold.bg/zlatna-moneta-1-oz-slon;coin;31.1;999.9;31.1;7171.0;3666.47;230.58;117.89;7171.0;0.0;;;;;;
31.1 гр. ( 1 toz. ) Златно Кюлче Pamp Suisse Швейцария;https://igold.bg/zlatno-kyulche-1-oz-pamp;bar;31.1;999.9;31.1;7199.0;3680.79;231.48;118.35;7199.0;0.0;;;;;;
33.93 гр. ( 1 toz. ) Златна Монета Кругерранд Южна Африка;https://igold.bg/zlaten-krugerrand-33-93-g;coin;33.93;917.0;31.1;7203.0;3682.84;231.61;118.42;7130.0;7203.0;1.01;;;;;
31.1 гр. ( 1 toz. ) Златно Кюлче Британия Royal Mint;https://igold.bg/zlatno-kyulche-1-oz-britania-royal-mint;bar;31.1;999.9;31.1;7206.0;3684.37;231.7;118.47;7206.0;0.0;;;;;;
33.43 гр. Златна Монета 20 Американски Долара Двоен Орел Saint- Gaudens 1907- 1933;https://igold.bg/20-zlatni-dolara-saint-gaudens;coin;33.43;900.0;30.09;6992.0;3574.95;232.37;118.81;6992.0;0.0;;;;;;
31.1 гр. Златно Кюлче Argor-Heraeus Швейцария Холограмна Защита;https://igold.bg/zlatno-kyulche-1-oz-argor-heraeus-kinebar;bar;31.1;999.9;31.1;7237.0;3700.22;232.7;118.98;7206.0;7237.0;0.43;;;;;
31.1 гр. ( 1 toz. ) Златно Кюлче Valcambi Швейцария;https://igold.bg/zlatno-kyulche-valcambi-1-oz;bar;31.1;999.9;31.1;7237.0;3700.22;232.7;118.98;7206.0;7237.0;0.43;;;;;
20 гр. Златно Кюлче Argor-Heraeus Швейцария Холограмна Защита;https://igold.bg/zlatno-kyulche-20-g-argor-heraeus-kinebar;bar;20.0;999.9;20.0;4687.0;2396.43;234.35;119.82;4661.0;4687.0;0.55;;;;;
20 гр. Златно Кюлче Valcambi Швейцария;https://igold.bg/zlatno-kyulche-valcambi-20-g;bar;20.0;999.9;20.0;4687.0;2396.43;234.35;119.82;4661.0;4687.0;0.55;;;;;
41.67 гр. Златна Монета 50 Мексикански Песо 1947;https://igold.bg/50-zlatni-peso-mexico;coin;41.67;900.0;37.5;8793.0;4495.79;234.48;119.89;8439.0;8793.0;4.03;;;;;
